month,species,grade,price_index,housing_starts_index,mortgage_rate_pct,export_demand_index,log_supply_index,diesel_price_index,notes
2023-07,Hard Maple,FAS,109.1,103.1,6.87,111.3,98.2,92.0,"SYNTHETIC - generated for training, not market data"
2023-08,Hard Maple,FAS,92.1,107.5,7.05,102.1,101.4,105.0,"SYNTHETIC - generated for training, not market data"
2023-09,Hard Maple,FAS,98.7,109.6,6.91,104.9,97.7,106.7,"SYNTHETIC - generated for training, not market data"
2023-10,Hard Maple,FAS,97.8,110.5,6.9,97.4,107.9,104.6,"SYNTHETIC - generated for training, not market data"
2023-11,Hard Maple,FAS,125.6,111.4,6.66,106.0,107.5,112.2,"SYNTHETIC - generated for training, not market data"
2023-12,Hard Maple,FAS,107.3,115.6,6.86,107.3,105.4,98.1,"SYNTHETIC - generated for training, not market data"
2024-01,Hard Maple,FAS,115.3,117.8,6.7,91.6,105.6,92.0,"SYNTHETIC - generated for training, not market data"
2024-02,Hard Maple,FAS,115.7,119.4,6.76,102.3,102.6,94.5,"SYNTHETIC - generated for training, not market data"
2024-03,Hard Maple,FAS,110.5,125.0,6.88,92.1,102.0,97.3,"SYNTHETIC - generated for training, not market data"
2024-04,Hard Maple,FAS,100.0,130.5,6.76,96.1,101.5,87.8,"SYNTHETIC - generated for training, not market data"
2024-05,Hard Maple,FAS,125.9,136.8,6.62,85.0,99.3,105.2,"SYNTHETIC - generated for training, not market data"
2024-06,Hard Maple,FAS,117.3,139.3,6.84,118.8,96.7,105.2,"SYNTHETIC - generated for training, not market data"
2024-07,Hard Maple,FAS,132.9,143.4,6.61,95.6,91.9,95.7,"SYNTHETIC - generated for training, not market data"
2024-08,Hard Maple,FAS,118.6,146.7,6.58,109.7,96.1,98.1,"SYNTHETIC - generated for training, not market data"
2024-09,Hard Maple,FAS,129.1,145.8,6.77,107.2,92.7,93.9,"SYNTHETIC - generated for training, not market data"
2024-10,Hard Maple,FAS,149.1,149.0,6.78,95.9,94.1,96.0,"SYNTHETIC - generated for training, not market data"
2024-11,Hard Maple,FAS,153.6,150.7,6.71,102.0,93.1,90.1,"SYNTHETIC - generated for training, not market data"
2024-12,Hard Maple,FAS,126.3,156.4,6.56,88.4,88.9,97.5,"SYNTHETIC - generated for training, not market data"
2025-01,Hard Maple,FAS,128.7,155.9,6.46,103.3,99.2,104.5,"SYNTHETIC - generated for training, not market data"
2025-02,Hard Maple,FAS,142.7,153.6,6.53,97.0,98.9,99.7,"SYNTHETIC - generated for training, not market data"
2025-03,Hard Maple,FAS,155.0,153.8,6.39,105.9,90.9,96.3,"SYNTHETIC - generated for training, not market data"
2025-04,Hard Maple,FAS,149.1,150.7,6.41,97.4,105.4,99.0,"SYNTHETIC - generated for training, not market data"
2025-05,Hard Maple,FAS,148.5,148.8,6.28,93.7,108.4,92.5,"SYNTHETIC - generated for training, not market data"
2025-06,Hard Maple,FAS,136.1,143.2,6.44,98.5,103.7,114.2,"SYNTHETIC - generated for training, not market data"
2025-07,Hard Maple,FAS,148.8,138.7,6.34,108.3,109.1,111.4,"SYNTHETIC - generated for training, not market data"
2025-08,Hard Maple,FAS,152.3,136.0,6.41,105.1,103.0,105.8,"SYNTHETIC - generated for training, not market data"
2025-09,Hard Maple,FAS,132.5,132.5,6.44,108.9,105.1,106.9,"SYNTHETIC - generated for training, not market data"
2025-10,Hard Maple,FAS,119.0,127.8,6.52,101.9,107.4,93.0,"SYNTHETIC - generated for training, not market data"
2025-11,Hard Maple,FAS,123.2,120.6,6.49,96.7,109.6,95.9,"SYNTHETIC - generated for training, not market data"
